Date,Nike,Adidas,Under,North face,Louis,Sony,Disney,Tesla,Amazon,Ford
2019-01-07,74.068581,185.155441,17.110001,66.506996,246.703079,49.889999,109.225136,66.991997,1629.51001,7.643884
2019-01-08,75.056564,183.946869,17.24,66.649635,249.565613,49.93,110.074753,67.07,1656.579956,7.717649
2019-01-09,74.919617,189.844772,17.620001,65.642365,247.275589,49.099998,111.309662,67.706001,1659.420044,8.040372
2019-01-10,74.753334,186.412369,17.549999,63.699112,246.464523,48.98,111.438095,68.994003,1656.219971,7.994267
2019-01-11,74.381622,189.699722,17.860001,63.850636,240.166977,48.419998,111.289909,69.452003,1640.560059,8.132576
2019-01-14,74.430511,188.732864,17.879999,64.23394,239.308197,49.84,111.062683,66.879997,1617.209961,8.289328
2019-01-15,76.181488,192.842056,17.92,64.109154,237.542953,49.610001,110.410652,68.886002,1674.560059,8.151017
2019-01-16,75.98584,192.503662,17.77,65.303612,235.252945,49.509998,109.570915,69.209999,1683.780029,7.643884
2019-01-17,77.404213,190.521576,18.15,73.397484,241.789047,50.18,109.669708,69.461998,1693.219971,7.708428
2019-01-18,78.695419,195.500946,18.549999,72.889381,245.462646,48.470001,109.699348,60.452,1696.199951,7.911282
2019-01-22,78.988884,198.498245,18.59,73.887749,245.319534,48.459999,109.264656,59.784,1632.170044,7.837517
2019-01-23,78.744331,198.304871,18.4,74.288872,245.55809,48.369999,109.778381,57.518002,1640.02002,7.689988
2019-01-24,78.685654,200.431992,18.860001,74.431496,246.035156,48.759998,109.215263,58.301998,1654.930054,7.929724
2019-01-25,78.851944,195.597641,19.49,74.609779,249.136246,48.830002,109.748734,59.408001,1670.569946,8.169458
2019-01-28,78.568268,198.208191,19.370001,74.948502,246.798508,48.779999,109.472115,59.276001,1637.890015,7.985046
2019-01-29,78.470451,196.08107,18.93,75.420952,247.848083,49.200001,109.561035,59.492001,1593.880005,8.077253
2019-01-30,79.507332,195.984375,19.01,75.02874,264.880219,50.119999,108.800331,61.754002,1670.430054,8.171064
2019-01-31,80.094231,197.531372,18.940001,75.082222,266.931702,46.150002,110.173546,61.403999,1718.72998,8.255496
2019-02-01,79.732315,199.465118,18.860001,75.822083,271.607178,46.290001,109.956207,62.442001,1626.22998,8.180448
2019-02-04,80.201851,196.08107,18.93,76.42823,269.651123,45.860001,110.450172,62.577999,1633.310059,8.161684
2019-02-05,81.052864,192.890396,19.1,77.078941,277.809326,44.220001,111.299789,64.269997,1658.810059,8.20859
2019-02-06,80.906136,191.005005,18.93,76.695656,274.899109,43.060001,110.06488,63.444,1640.26001,8.180448
2019-02-07,80.593132,195.500946,18.629999,76.463875,270.414429,44.290001,109.61042,61.501999,1614.369995,7.795816
2019-02-08,80.563782,194.824142,19.040001,76.205383,270.557556,44.59,110.163673,61.16,1588.219971,7.870865
2019-02-11,81.854988,192.600342,19.15,77.230476,275.089935,44.279999,108.118668,62.568001,1591,7.814578
2019-02-12,82.862526,192.745377,20.01,77.087868,281.292084,45.060001,107.881554,62.362,1638.01001,7.936534
2019-02-13,83.537468,193.277145,19.879999,76.63324,281.148956,45.119999,108.869476,61.633999,1640,7.889627
2019-02-14,82.833176,194.920837,19.780001,77.462242,277.523102,45.790001,109.323929,60.754002,1622.650024,7.89901
2019-02-15,83.517906,192.455307,19.040001,77.310707,280.719574,46.220001,111.230621,61.576,1607.949951,8.011583
2019-02-19,82.725563,189.844772,19.389999,76.989807,281.578339,46.880001,112.139519,61.127998,1627.579956,8.283641
2019-02-20,82.989693,192.842056,19.18,76.481705,283.629852,47.639999,112.307465,60.512001,1622.099976,8.386833
2019-02-21,82.119095,192.068558,19.41,77.105705,283.009613,47.889999,112.910103,58.245998,1619.439941,8.171064
2019-02-22,82.911438,195.404282,19.66,77.524651,283.343567,48.459999,113.858513,58.942001,1631.560059,8.171064
2019-02-25,83.312485,195.984375,19.629999,77.845543,286.015289,48.189999,112.218552,59.754002,1633,8.217972
2019-02-26,83.928749,195.984375,19.370001,78.20211,289.020935,48.43,112.129639,59.571999,1636.400024,8.330546
2019-02-27,84.290672,199.078354,20.08,77.872292,290.309052,47.990002,111.418335,62.948002,1641.089966,8.236733
2019-02-28,83.860291,206.619949,20.08,77.800972,288.543854,47.889999,111.477608,63.976002,1639.829956,8.227353
2019-03-01,85.478439,206.2332,20.41,76.526276,288.162201,47.619999,112.633484,58.958,1671.72998,8.246116
2019-03-04,83.987762,206.716629,19.85,76.223206,292.551392,47.66,112.949623,57.071999,1696.170044,8.264878
2019-03-05,83.791634,209.133804,19.83,76.125153,293.887268,47.529999,112.623604,55.307999,1692.430054,8.227353
